Trial,switch,t_pos,t_frequency,resp_speed,Resp,Reward_midLeft,Reward_midRight,Reward_downLeft,Reward_downRight,Pval_midLeft,Pval_midRight,Pval_downLeft,Pval_downRight
0,0,downLeft,lowB,6.774404758686685,1,0,0,1,0,0.20409742302993872,0.20409742302993872,0.3877077309101838,0.20409742302993872
1,0,midLeft,lowA,6.158601301582284,1,1,0,0,0,0.3502333402300921,0.16662303234984704,0.31652059507021374,0.16662303234984704
2,0,midLeft,lowA,7.167204084852415,1,1,0,0,0,0.4695371966807633,0.13602932608015159,0.2584041511589334,0.13602932608015159
3,0,midLeft,lowA,7.914569119341701,1,1,0,0,0,0.5669356353172262,0.1110529396378327,0.21095848540710824,0.1110529396378327
4,0,downLeft,lowB,6.453062671799167,1,0,0,1,0,0.462840408768348,0.09066247519992397,0.35583464083180394,0.09066247519992397
5,0,midLeft,lowA,7.922989649537531,1,1,0,0,0,0.5614684466952182,0.07401591021528085,0.29049973287422,0.07401591021528085
6,0,midLeft,lowA,8.566621329961151,0,0,0,0,0,0.45837705233246623,0.06042582615261656,0.2371609874820555,0.06042582615261656
7,0,downLeft,lowB,6.599306755010021,1,0,0,1,0,0.3742143006284629,0.04933102160881647,0.3772260934335374,0.04933102160881647
8,0,downRight,lowC,5.3099797346938,1,0,0,0,1,0.30550469767688027,0.04027333754317466,0.3079634942777435,0.2238836454234197
9,0,downRight,lowC,6.411029466518676,1,0,0,0,1,0.2494108860775671,0.03287873763750732,0.2514182222775309,0.3663866082381191
10,0,downRight,lowC,7.175299648208684,1,0,0,0,1,0.20361647649618025,0.026841862497170802,0.20525524507844956,0.48272455817656434
11,0,downLeft,lowB,6.286518107082986,1,0,0,1,0,0.1662303925572259,0.02191341985998607,0.35117857421580534,0.39409135342841006
12,0,midRight,high,5.236533667935361,1,0,100,0,0,0.13570877900073966,18.37892067811729,0.2866985680830958,0.3217321186924772
13,0,downLeft,lowB,6.948082951751556,1,0,0,1,0,0.11079124830636171,15.004361393901572,0.4176680636087783,0.2626587853243879
14,0,downLeft,lowB,7.778879417131395,1,0,0,1,0,0.09044883309439396,12.24940597882084,0.5245902097380698,0.21443192488352586
15,0,downLeft,lowB,8.53483565693762,0,0,0,0,0,0.07384149500252338,10.000288775699431,0.4282700398171005,0.1750600131363081
16,0,midRight,high,68.55603013523596,1,0,100,0,0,0.06028343537077248,26.525163462726407,0.34963524595039785,0.1429171902268308
17,0,downRight,lowC,5.927514566361737,1,0,0,0,1,0.049214775242266084,21.654870032761384,0.28543861079566013,0.30028642880814793
18,0,downRight,lowC,6.917810439540505,1,0,0,0,1,0.040178435207776544,17.678812678939373,0.23302913958655952,0.42876105304266965
19,0,midLeft,lowA,5.475689304018803,1,1,0,0,0,0.2164115682293753,14.432800440002135,0.19024258752200274,0.350036104086447
