Trial,switch,t_pos,t_frequency,resp_speed,Resp,Reward_midLeft,Reward_midRight,Reward_downLeft,Reward_downRight,Pval_midLeft,Pval_midRight,Pval_downLeft,Pval_downRight
40,0,downRight,lowC,3.4019492635329316,1,0,0,0,1,0.6156460613546586,0.08973741916581454,0.07226880407221475,0.3934708621276634
41,0,midRight,lowA,3.836042822392365,1,0,1,0,0,0.37905797865936997,0.43954438174908206,0.044496454231293656,0.2422630128280007
42,0,downRight,lowC,5.20906594975636,1,0,0,0,1,0.23338889047574693,0.27063083049744063,0.02739680647239101,0.5334555538601992
43,0,downLeft,lowB,3.402162588393423,1,0,0,1,0,0.14369932111743913,0.1666294678236719,0.401160790722837,0.32845265590739026
44,0,midLeft,high,4.442394199132155,1,100,0,0,0,0.9999,0.10259503507477391,0.24699776055449052,0.2022308070315649
45,0,midRight,lowA,4.167141481582046,1,0,1,0,0,0.6156460613546586,0.4474609139950685,0.1520784062894221,0.1245150513386908
46,0,midRight,lowA,6.925649945059852,1,0,1,0,0,0.37905797865936997,0.6597974677033313,0.09363583543271953,0.07666486742278038
47,0,midLeft,high,6.512973590492116,1,100,0,0,0,0.9999,0.40624233651698516,0.057652298515658326,0.04720314398751056
48,0,downLeft,lowB,3.9759684849072796,0,0,0,0,0,0.6156460613546586,0.25012650708290396,0.035496960205228606,0.02906333601306902
49,0,midRight,lowA,5.246856458744649,1,0,1,0,0,0.37905797865936997,0.5382971672880581,0.02185574931534358,0.017894517798052754
50,0,midRight,lowA,7.790731065478806,1,0,1,0,0,0.23338889047574693,0.715726042128817,0.01345675165911196,0.01101779118133015
51,0,downRight,lowC,3.309797334213103,1,0,0,0,1,0.14369932111743913,0.440677986644229,0.008285424700030049,0.39107610600155557
52,0,midRight,lowA,6.848987421356554,1,0,1,0,0,0.08847676874216394,0.6556211675653184,0.0051013992231464175,0.24078854320409507
53,0,downRight,lowC,5.288031246349277,1,0,0,0,1,0.05447582177967817,0.40367095664799574,0.0031409704361714244,0.5325477116594345
