Trial,switch,t_pos,t_frequency,resp_speed,Resp,outcome_midLeft,outcome_midRight,outcome_downLeft,outcome_downRight,Pp_midLeft,Pp_midRight,Pp_downLeft,Pp_downRight
39,0,downRight,high,3.454737829487251,1,0,0,0,1,0.04691425787610681,1.024886609790988e-06,0.002008867354067782,0.9510758498832157
40,0,midLeft,lowA,0.3564271339795038,1,1,0,0,0,0.7882740984682054,2.2767630637543833e-07,0.0004462654646894327,0.21127940839079884
42,0,downRight,high,1.1574814184024915,1,0,0,0,1,0.17511335735693767,5.0577790742464504e-08,9.913689152805835e-05,0.8247874551737435
46,0,downRight,high,3.7099297014032886,1,0,0,0,1,0.03890104721746784,1.1235744979849593e-08,2.2023042425399527e-05,0.9610769185043617
47,0,midRight,lowB,0.1249523372158455,1,0,1,0,0,0.008641782085938111,0.7778522017535608,4.892370440459852e-06,0.2135011237900606
49,0,downRight,high,1.050280852997288,1,0,0,0,1,0.0019197528848865263,0.1727981559222146,1.0868293337654551e-06,0.8252810043635651
52,0,downRight,high,3.738590816827673,1,0,0,0,1,0.00042646888134648727,0.03838673031046838,2.4143674627836194e-07,0.9611865593714388
53,0,downLeft,lowC,0.38236283134720306,1,0,0,1,0,9.473912407620873e-05,0.00852752771616353,0.777852252892207,0.21352548026755327
54,0,midLeft,lowA,0.3458821771713809,1,1,0,0,0,0.7778732453456225,0.0018943715279158896,0.17279816728255237,0.04743421584390922
55,0,midLeft,lowA,3.373193743956394,1,1,0,0,0,0.9506550299674756,0.0004208304687156016,0.038386732834142435,0.010537406729666412
56,0,downLeft,lowC,0.26520670620646103,1,0,0,1,0,0.21118592417200854,9.34865631105791e-05,0.7863797275343569,0.002340861730523931
57,0,downRight,high,0.19434620253622703,1,0,0,0,1,0.04691448860257039,2.0767834393984027e-05,0.17469252702019278,0.7783722165428428
60,0,midRight,lowB,0.2871717443803352,1,0,1,0,0,0.010421950466017058,0.7778568127863016,0.038807560683674275,0.1729136760640071
61,0,midRight,lowB,3.5812743502848616,1,0,1,0,0,0.0023152133754722874,0.9506513795105619,0.008621014258056838,0.038412392855909035
62,0,midLeft,lowA,0.252170069039505,1,1,0,0,0,0.7783665188171754,0.2111851132310335,0.0019151393575965034,0.008533228594194624
64,0,downRight,high,0.32929717807584435,1,0,0,0,1,0.17291241032678084,0.04691430845381625,0.0004254439964053434,0.7797478372229976
65,0,downRight,high,3.3727564476177054,1,0,0,0,1,0.03841211167516792,0.010421910446367519,9.451144814051957e-05,0.951071466430324
66,0,midLeft,lowA,0.26864225034033684,1,1,0,0,0,0.7863853653880761,0.002315204485195156,2.0995510349399146e-05,0.2112784346163793
67,0,downRight,high,1.265300623996098,1,0,0,0,1,0.1746937794569975,0.000514317584655126,4.66410644958406e-06,0.8247872388518979
68,0,midRight,lowB,0.21534532442491994,1,0,1,0,0,0.038807838909756004,0.7779664537778791,1.0361209902037066e-06,0.18322467119137475
69,0,downRight,high,0.928979656404612,1,0,0,0,1,0.008621076065369002,0.17282353675814724,2.3017199927682776e-07,0.8185551570044846
70,0,midLeft,lowA,0.1476635001028214,1,1,0,0,0,0.7797673523455197,0.03839236860735182,5.113220343183667e-08,0.18184022791492505
71,0,downRight,high,1.0876727943597178,1,0,0,0,1,0.17322360241430879,0.008528780251416117,1.1358906539497313e-08,0.8182476059753685
73,0,midLeft,lowA,0.8432941742698683,1,1,0,0,0,0.8163334415705855,0.0018946497758676047,2.5233561065881944e-09,0.1817719061301908
74,0,downLeft,lowC,0.18312747312706257,1,0,0,1,0,0.18134667871740884,0.00042089228088613615,0.7778521998181228,0.04038022918358228
75,0,midRight,lowB,0.09986975253102073,1,0,1,0,0,0.04028576584901736,0.7779456995521131,0.1727981554922613,0.008970379106608306
76,0,downRight,high,0.27962555629626856,1,0,0,0,1,0.00894939428458391,0.17281892625253722,0.03838673021495519,0.7798449492479236
77,0,downRight,high,3.5239934173218117,1,0,0,0,1,0.001988088258297235,0.03839134439367026,0.008527527694945483,0.951093039653087
78,0,downRight,high,4.116431914500888,1,0,0,0,1,0.00044164943426258933,0.008528552724599268,0.0018943715232023475,0.9891354263179358
79,0,midRight,lowB,0.330700556878873,1,0,1,0,0,9.811145052057496e-05,0.7797467984888504,0.0004208304676684986,0.21973425959296056
80,0,downRight,high,1.0975121246359678,1,0,0,0,1,2.1795242960795976e-05,0.17321903642025294,9.348656287796748e-05,0.8266656817739083
82,0,midRight,lowB,0.8924635645822071,1,0,1,0,0,4.8417652903878674e-06,0.8163324272450477,2.0767834342309867e-05,0.18364196315531955
85,0,downRight,high,0.9333006096981188,1,0,0,0,1,1.0755875109707232e-06,0.18134645338722133,4.613528725327356e-06,0.8186478574965423
86,0,downRight,high,3.72251356038427,1,0,0,0,1,2.3893940006817613e-07,0.040285715792411775,1.0248852599935228e-06,0.9597130203829282
88,0,downRight,high,4.398639669912134,1,0,0,0,1,5.30798622358622e-08,0.008949383164619067,2.276760065209e-07,0.9910503360795122
