Trial,switch,t_pos,t_frequency,resp_speed,Resp,outcome_midLeft,outcome_midRight,outcome_downLeft,outcome_downRight,Pp_midLeft,Pp_midRight,Pp_downLeft,Pp_downRight,simulated_RS
225,2,downLeft,high,5.105425167944104,1,0,0,1,0,0.0772948128393716,0.1159666399515187,0.7953323872466411,0.0114061599624685,5.035492923786637
226,2,downLeft,high,5.665826845156764,1,0,0,1,0,0.0541063689875601,0.0811766479660631,0.8567326710726488,0.0079843119737279,5.584520384815269
227,2,downLeft,high,5.762851783657436,1,0,0,1,0,0.037874458291292,0.0568236535762441,0.8997128697508542,0.0055890183816095,5.871476181645293
228,2,downLeft,high,6.102468113712906,1,0,0,1,0,0.0265121208039044,0.0397765575033709,0.929799008825598,0.0039123128671267,5.789967515491717
229,2,midLeft,lowA,2.153328345978564,1,1,0,0,0,0.318558484562733,0.0278435902523596,0.6508593061779185,0.0027386190069886,2.133875099013495
230,2,downRight,lowC,2.080789292073041,1,0,0,0,1,0.2229909391939131,0.0194905131766517,0.455601514324543,0.301917033304892,1.98734521457263
231,2,downLeft,high,4.27278101617687,1,0,0,1,0,0.1560936574357392,0.0136433592236562,0.6189210600271801,0.2113419233134244,3.989146911994787
232,2,downLeft,high,4.633119768561042,1,0,0,1,0,0.1092655602050174,0.0095503514565593,0.7332447420190261,0.1479393463193971,4.8436302930991335
235,2,midLeft,lowA,2.593719507250521,1,1,0,0,0,0.3764858921435122,0.0066852460195915,0.5132713194133183,0.1035575424235779,2.4418139146194204
236,2,downLeft,high,4.254561107397293,1,0,0,1,0,0.2635401245004586,0.004679672213714,0.6592899235893228,0.0724902796965046,4.219609426163506
238,2,midLeft,lowA,3.0981368910023432,1,1,0,0,0,0.484478087150321,0.0032757705495998,0.461502946512526,0.0507431957875532,3.337991843796685
239,2,downRight,lowC,2.244097082068793,1,0,0,0,1,0.3391346610052247,0.0022930393847199,0.3230520625587681,0.3355202370512872,2.0681593775041605
240,2,midLeft,lowA,3.618430900028752,1,1,0,0,0,0.5373942627036573,0.0016051275693039,0.2261364437911377,0.234864165935901,3.3917319107477892
241,2,downLeft,high,2.9641091818746963,1,0,0,1,0,0.3761759838925601,0.0011235892985127,0.4582955106537963,0.1644049161551307,3.0612009068461226
243,2,midRight,lowB,1.956772345589877,1,0,1,0,0,0.2633231887247921,0.3007865125089589,0.3208068574576574,0.1150834413085915,2.057628555350179
244,2,downLeft,high,3.4238715693726016,1,0,0,1,0,0.1843262321073545,0.2105505587562712,0.5245648002203602,0.080558408916014,3.6040150048898005
245,2,downRight,lowC,2.43938455908926,1,0,0,0,1,0.1290283624751481,0.1473853911293899,0.3671953601542521,0.3563908862412098,2.3707674934137772
246,2,midLeft,lowA,2.732994425245482,1,1,0,0,0,0.3903198537326037,0.1031697737905729,0.2570367521079765,0.2494736203688469,2.5581984878838147
247,2,downLeft,high,3.124232668705822,1,0,0,1,0,0.2732238976128226,0.072218841653401,0.4799257264755835,0.1746315342581928,2.9893687312753987
248,2,midRight,lowB,2.1956906778735754,1,0,1,0,0,0.1912567283289758,0.3505531891573807,0.3359480085329084,0.1222420739807349,2.202475636734384
249,2,downLeft,high,3.364238077619317,1,0,0,1,0,0.133879709830283,0.2453872324101665,0.5351636059730359,0.0855694517865144,3.53721246460759
250,2,downLeft,high,4.48803399835607,1,0,0,1,0,0.0937157968811981,0.1717710626871165,0.6746145241811251,0.0598986162505601,4.43982774350381
252,2,downLeft,high,5.069107442804831,1,0,0,1,0,0.0656010578168387,0.1202397438809816,0.7722301669267876,0.0419290313753921,5.145917303605042
253,2,downLeft,high,5.526222710559479,1,0,0,1,0,0.0459207404717871,0.0841678207166871,0.8405611168487513,0.0293503219627744,5.32339991772653
